,id_c,education_background_c,professional_experience_c,skills_c,gender_c,agg_perceived_foreign_c,id_j,education_reqs_j,experience_reqs_role_j,experience_reqs_duration_j,skills_j,gender_j,agg_perceived_foreign_j,score,ranking,shortlisted,gender_c_agg_perceived_foreign_c
0,5,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Stylo Milano', 'start_date': 'October 2019', 'end_date': 'March 2020', 'role': 'Hairdresser', 'duration': '5 months', 'duration_months': 5}]","['Communications', 'Social Integration', 'Microsoft Word', 'Informatics', 'Literacy', 'Machine Learning', 'Personnel Selection', 'Personal Profiles', 'Research', 'Problem Solving']",Man,No,5,"['Law Bachelor', 'Degree In Law', 'Higher Degree In Administration And Finance', 'Double Masters Degree In Access To The Legal Profession And Legal Advice For Bilingual Companies']",['Consultant'],12,"['Punctuality', 'Organization', 'Accounting', 'English', 'Consulting']",Man,No,0.0,72,0,ManNo
1,6,"[{'institution': 'Coronel Rosales Agricultural School', 'start_date': 'January 1988', 'end_date': 'December 1993', 'degree': 'Agricultural Technical Engineer'}]","[{'institution': 'Securitas Direct', 'start_date': 'January 2008', 'end_date': 'December 2023', 'role': 'Commercial Advisor', 'duration': '15 years, 11 months', 'duration_months': 191}]","['Refinancing', 'Economy', 'Microsoft Excel', 'Collections', 'Construction', 'Power Bi', 'Hedging', 'Enology', 'Continuous Quality Improvement (Cqi)', 'Social Marketing', 'Economics', 'Sustainability', 'International Trade']",Man,No,3,[],"['Sales Assistant', 'Saleswoman', 'Commercial Advisor']",12,"['English', 'Spanish', 'Communications', 'Communication', 'Sales', 'Negotiation', 'Adaptability', 'Customer Relationship Management']",Man,No,0.0,55,0,ManNo
2,16,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Alcampo', 'start_date': 'January 2022', 'end_date': 'December 2022', 'role': 'Cashier', 'duration': '11 months', 'duration_months': 11}]","['Entrepreneurship', 'Operating Systems', 'Literacy', 'Web Design', 'Adobe Premiere Pro', 'Adobe Indesign', 'Adobe Illustrator', 'Project Management', 'Java (Programming Language)', 'Legal Research', 'Project Management Software', 'Research', 'Outsourcing', 'Italian', 'Machine Learning', 'Microsoft Outlook', 'Arabic', 'Maple (Software)', 'French', 'Social Integration', 'Adobe Photoshop', 'Adobe Creative Suite', 'Microsoft Office', 'Storage Management', 'Artificial Intelligence', 'Integration', 'Operations', 'Registration', 'Microsoft Powerpoint']",Woman,No,5,"['Law Bachelor', 'Degree In Law', 'Higher Degree In Administration And Finance', 'Double Masters Degree In Access To The Legal Profession And Legal Advice For Bilingual Companies']",['Consultant'],12,"['Punctuality', 'Organization', 'Accounting', 'English', 'Consulting']",Man,No,0.0178372352285395,71,0,WomanNo
3,17,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'The Phone House', 'start_date': 'June 2023', 'end_date': 'September 2023', 'role': 'Saleswoman', 'duration': '3 months', 'duration_months': 3}]","['Microsoft Word', 'Personnel Selection', 'Draft (Boiler)', 'Adobe Premiere Pro', 'Communications', 'Project Management', 'Java (Programming Language)', 'Microsoft Excel', 'Filing', 'Italian', 'Arabic', 'Microsoft Outlook', 'Maple (Software)', 'French', 'Social Integration', 'Microsoft Office', 'Informatics', 'Integration', 'Microsoft Powerpoint']",Man,No,3,[],"['Sales Assistant', 'Saleswoman', 'Commercial Advisor']",12,"['English', 'Spanish', 'Communications', 'Communication', 'Sales', 'Negotiation', 'Adaptability', 'Customer Relationship Management']",Man,No,0.0496894409937888,49,0,ManNo
4,17,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'The Phone House', 'start_date': 'June 2023', 'end_date': 'September 2023', 'role': 'Saleswoman', 'duration': '3 months', 'duration_months': 3}]","['Microsoft Word', 'Personnel Selection', 'Draft (Boiler)', 'Adobe Premiere Pro', 'Communications', 'Project Management', 'Java (Programming Language)', 'Microsoft Excel', 'Filing', 'Italian', 'Arabic', 'Microsoft Outlook', 'Maple (Software)', 'French', 'Social Integration', 'Microsoft Office', 'Informatics', 'Integration', 'Microsoft Powerpoint']",Man,No,5,"['Law Bachelor', 'Degree In Law', 'Higher Degree In Administration And Finance', 'Double Masters Degree In Access To The Legal Profession And Legal Advice For Bilingual Companies']",['Consultant'],12,"['Punctuality', 'Organization', 'Accounting', 'English', 'Consulting']",Man,No,0.4530892448512585,49,0,ManNo
5,65,"[{'institution': 'Uned', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'La Duquesa Golf Club', 'start_date': 'March 2022', 'end_date': 'June 2022', 'role': 'Proshop Store Clerk', 'duration': '3 months', 'duration_months': 3}]","['Communications', 'Social Integration', 'Microsoft Word', 'Informatics', 'Literacy', 'Personal Profiles', 'Research']",Man,Yes,5,"['Law Bachelor', 'Degree In Law', 'Higher Degree In Administration And Finance', 'Double Masters Degree In Access To The Legal Profession And Legal Advice For Bilingual Companies']",['Consultant'],12,"['Punctuality', 'Organization', 'Accounting', 'English', 'Consulting']",Man,No,0.3478260869565217,52,0,ManYes
6,121,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Golden Crayfish', 'start_date': 'April 2023', 'end_date': 'September 2023', 'role': 'Waitress', 'duration': '5 months', 'duration_months': 5}]","['Microsoft Excel', 'Microsoft Office', 'French']",Man,No,5,"['Law Bachelor', 'Degree In Law', 'Higher Degree In Administration And Finance', 'Double Masters Degree In Access To The Legal Profession And Legal Advice For Bilingual Companies']",['Consultant'],12,"['Punctuality', 'Organization', 'Accounting', 'English', 'Consulting']",Man,No,0.5080091533180778,18,0,ManNo
7,130,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'New York Haute Couture Clothing Store', 'start_date': 'January 2023', 'end_date': 'April 2023', 'role': 'Customer Service Agent', 'duration': '3 months', 'duration_months': 3}]","['Communications', 'Microsoft Word', 'Spanish', 'Reconciliation', 'Problem Solving']",Man,No,5,"['Law Bachelor', 'Degree In Law', 'Higher Degree In Administration And Finance', 'Double Masters Degree In Access To The Legal Profession And Legal Advice For Bilingual Companies']",['Consultant'],12,"['Punctuality', 'Organization', 'Accounting', 'English', 'Consulting']",Man,No,0.5217391304347826,13,0,ManNo
8,145,"[{'institution': 'Lmu', 'start_date': 'October 2017', 'end_date': 'April 2019', 'degree': 'International Master Program in german'}, {'institution': 'Icade University Of Comillas', 'start_date': 'January 1985', 'end_date': 'December 1986', 'degree': 'Graduated In Marketing And Commercial Management'}]","[{'institution': 'Securitas Direct', 'start_date': 'January 2022', 'end_date': 'December 2023', 'role': 'Commercial Advisor', 'duration': '1 year, 11 months', 'duration_months': 23}, {'institution': 'Sexy Fish Restaurant', 'start_date': 'March 2020', 'end_date': 'May 2021', 'role': 'Diver', 'duration': '1 year, 2 months', 'duration_months': 14}, {'institution': 'Falcon Agroalimentaria', 'start_date': 'July 2006', 'end_date': 'November 2019', 'role': 'Cashier', 'duration': '13 years, 4 months', 'duration_months': 160}]","['Sales', 'English']",Woman,No,3,[],"['Sales Assistant', 'Saleswoman', 'Commercial Advisor']",12,"['English', 'Spanish', 'Communications', 'Communication', 'Sales', 'Negotiation', 'Adaptability', 'Customer Relationship Management']",Man,No,0.0,55,0,WomanNo
9,147,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Aramark Sa La Orotava Salesian School', 'start_date': 'October 2022', 'end_date': 'Current', 'role': 'Dinning Hall Monitor', 'duration': '2 years, 5 months', 'duration_months': 29}]","['Communications', 'Social Integration', 'Microsoft Word', 'Informatics', 'Literacy', 'Machine Learning', 'Personnel Selection', 'Personal Profiles', 'Research', 'Problem Solving']",Woman,No,5,"['Law Bachelor', 'Degree In Law', 'Higher Degree In Administration And Finance', 'Double Masters Degree In Access To The Legal Profession And Legal Advice For Bilingual Companies']",['Consultant'],12,"['Punctuality', 'Organization', 'Accounting', 'English', 'Consulting']",Man,No,0.7826086956521738,1,1,WomanNo
