,id_c,education_background_c,professional_experience_c,skills_c,gender_c,agg_perceived_foreign_c
5,5,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Stylo Milano', 'start_date': 'October 2019', 'end_date': 'March 2020', 'role': 'Hairdresser', 'duration': '5 months', 'duration_months': 5}]","['Communications', 'Social Integration', 'Microsoft Word', 'Informatics', 'Literacy', 'Machine Learning', 'Personnel Selection', 'Personal Profiles', 'Research', 'Problem Solving']",Man,No
6,6,"[{'institution': 'Coronel Rosales Agricultural School', 'start_date': 'January 1988', 'end_date': 'December 1993', 'degree': 'Agricultural Technical Engineer'}]","[{'institution': 'Securitas Direct', 'start_date': 'January 2008', 'end_date': 'December 2023', 'role': 'Commercial Advisor', 'duration': '15 years, 11 months', 'duration_months': 191}]","['Refinancing', 'Economy', 'Microsoft Excel', 'Collections', 'Construction', 'Power Bi', 'Hedging', 'Enology', 'Continuous Quality Improvement (Cqi)', 'Social Marketing', 'Economics', 'Sustainability', 'International Trade']",Man,No
10,10,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Carrefour Express', 'start_date': 'August 2023', 'end_date': 'September 2023', 'role': 'Cashier And Replenishment Assistant', 'duration': '1 months', 'duration_months': 1}, {'institution': 'Alcampo', 'start_date': 'November 2022', 'end_date': 'January 2023', 'role': 'Cashierstocker', 'duration': '2 months', 'duration_months': 2}, {'institution': 'Yenny Campo', 'start_date': 'January 2016', 'end_date': 'December 2020', 'role': 'Point Of Sale Administrator', 'duration': '4 years, 11 months', 'duration_months': 59}]","['Entrepreneurship', 'Literacy', 'Web Design', 'Adobe Premiere Pro', 'Adobe Indesign', 'Adobe Illustrator', 'Electricity', 'Spanish', 'Java (Programming Language)', 'Outsourcing', 'Microsoft Excel', 'Filing', 'Machine Learning', 'Microsoft Outlook', 'Customer Relationship Management', 'Adobe Photoshop', 'Adobe Creative Suite', 'Microsoft Office', 'Integration', 'Microsoft Powerpoint']",Woman,No
11,11,"[{'institution': 'Les Ribera De Los Molinos', 'start_date': 'January 2016', 'end_date': 'December 2020', 'degree': 'Degree In Aesthetics And Beauty'}]","[{'institution': 'Decimas Sl', 'start_date': 'November 2019', 'end_date': 'January 2020', 'role': 'Sales Assistant', 'duration': '2 months', 'duration_months': 2}]","['Consulting', 'Sap Crm', 'Collections', 'Automation', 'Social Sciences', 'English', 'Construction', 'Spanish', 'Technical Support', 'Leadership', 'Office Automation', 'Storage Area Network (San)']",Woman,No
15,15,"[{'institution': 'Escuela Politcnica Superior De Lugo', 'start_date': 'January 1988', 'end_date': 'December 1993', 'degree': 'Agricultural Technical Engineer'}]","[{'institution': 'Reintegrate', 'start_date': 'February 2021', 'end_date': 'November 2023', 'role': 'Asset Manager', 'duration': '2 years, 9 months', 'duration_months': 33}, {'institution': 'Espand Abogados', 'start_date': 'February 2014', 'end_date': 'April 2017', 'role': 'Asset Manager', 'duration': '3 years, 2 months', 'duration_months': 38}, {'institution': 'Almacenes San Marcos', 'start_date': 'March 1997', 'end_date': 'August 2007', 'role': 'Saleswoman', 'duration': '10 years, 5 months', 'duration_months': 125}]","['Microsoft Word', 'Biofuels', 'English', 'Entrepreneurship', 'Mfg/Pro (Erp)', 'Continuous Quality Improvement (Cqi)', 'Business Administration', 'Bioenergy', 'Storage Area Network (San)', 'Investments', 'International Trade', 'Management Systems', 'Customer Service', 'Management', 'Biomass', 'Consulting', 'Economy', 'Collaboration', 'Hedging', 'Enology', 'Agriculture', 'Sustainability', 'Sales', 'Microsoft Excel', 'Collections', 'Construction', 'Power Bi', 'Planning', 'Indicators', 'Social Marketing', 'French', 'Refinancing', 'Auditing', 'Closing (Sales)', 'Viticulture', 'Operations', 'Biodiesel', 'Economics', 'Business Economics']",Man,No
16,16,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Alcampo', 'start_date': 'January 2022', 'end_date': 'December 2022', 'role': 'Cashier', 'duration': '11 months', 'duration_months': 11}]","['Entrepreneurship', 'Operating Systems', 'Literacy', 'Web Design', 'Adobe Premiere Pro', 'Adobe Indesign', 'Adobe Illustrator', 'Project Management', 'Java (Programming Language)', 'Legal Research', 'Project Management Software', 'Research', 'Outsourcing', 'Italian', 'Machine Learning', 'Microsoft Outlook', 'Arabic', 'Maple (Software)', 'French', 'Social Integration', 'Adobe Photoshop', 'Adobe Creative Suite', 'Microsoft Office', 'Storage Management', 'Artificial Intelligence', 'Integration', 'Operations', 'Registration', 'Microsoft Powerpoint']",Woman,No
17,17,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'The Phone House', 'start_date': 'June 2023', 'end_date': 'September 2023', 'role': 'Saleswoman', 'duration': '3 months', 'duration_months': 3}]","['Microsoft Word', 'Personnel Selection', 'Draft (Boiler)', 'Adobe Premiere Pro', 'Communications', 'Project Management', 'Java (Programming Language)', 'Microsoft Excel', 'Filing', 'Italian', 'Arabic', 'Microsoft Outlook', 'Maple (Software)', 'French', 'Social Integration', 'Microsoft Office', 'Informatics', 'Integration', 'Microsoft Powerpoint']",Man,No
18,18,"[{'institution': 'Uned', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Snoring', 'start_date': 'November 2022', 'end_date': 'December 2022', 'role': 'Waiter', 'duration': '1 months', 'duration_months': 1}]","['Project Management', 'Storage Management', 'Informatics', 'Management', 'Literacy', 'Machine Learning', 'Digital Literacy', 'Research', 'Gmail']",Woman,No
19,19,"[{'institution': 'Icade University Of Comillas', 'start_date': 'January 1985', 'end_date': 'December 1986', 'degree': 'Graduated In Marketing And Commercial Management'}]","[{'institution': 'Securitas Direct', 'start_date': 'January 2022', 'end_date': 'December 2023', 'role': 'Commercial Advisor', 'duration': '1 year, 11 months', 'duration_months': 23}, {'institution': 'Gss Security', 'start_date': 'August 2019', 'end_date': 'March 2020', 'role': 'Security Advisor', 'duration': '7 months', 'duration_months': 7}, {'institution': 'Unilever Food Solutions Spain', 'start_date': 'November 2016', 'end_date': 'March 2017', 'role': 'Auditor', 'duration': '4 months', 'duration_months': 4}, {'institution': 'Santogal Motor', 'start_date': 'October 1993', 'end_date': 'August 2008', 'role': 'Banquet Waiter', 'duration': '14 years, 10 months', 'duration_months': 178}]","['Sap Crm', 'English', 'Entrepreneurship', 'Customer Service', 'Management', 'Consulting', 'Spanish', 'Trade Finance', 'Sales', 'Customer Satisfaction', 'Mortars', 'Filing', 'Demolition', 'Installation', 'Tax Consulting', 'Emotional Intelligence', 'Italian', 'Mortgage Loans', 'Microsoft Office', 'Motorcycles', 'First Aid']",Man,No
24,24,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Autonomous', 'start_date': 'September 2021', 'end_date': 'March 2022', 'role': 'Tourist Guide', 'duration': '6 months', 'duration_months': 6}]","['Personnel Selection', 'Problem Solving']",Woman,No
